city,county
Alachua,Alachua
Alford,Jackson
Altamonte Springs,Seminole
Altha,Calhoun
Altoona,Lake
Alva,Lee
Andover,Miami-Dade
Andrews,Levy
Anna Maria,Manatee
Apalachicola,Franklin
Apollo Beach,Hillsborough
Apopka,Orange
Arcadia,DeSoto
Archer,Alachua
Asbury Lake,Clay
Astatula,Lake
Astor,Lake
Atlantic Beach,Duval
Atlantis,Palm Beach
Auburndale,Polk
Aventura,Miami-Dade
Avon Park,Highlands
Azalea Park,Orange
Babson Park,Polk
Bagdad,Santa Rosa
Bal Harbour,Miami-Dade
Baldwin,Duval
Bartow,Polk
Bascom,Jackson
Bay Hill,Orange
Bay Lake,Orange
Bay Pines,Pinellas
Bayonet Point,Pasco
Bayport,Hernando
Bayshore Gardens,Manatee
Beacon Square,Pasco
Bee Ridge,Sarasota
Bell,Gilchrist
Bellair-Meadowbrook Terrace,Clay
Belle Glade,Palm Beach
Belle Glade Camp,Palm Beach
Belle Isle,Orange
Belleair,Pinellas
Belleair Beach,Pinellas
Belleair Bluffs,Pinellas
Belleair Shore,Pinellas
Belleview,Marion
Bellview,Escambia
Beverly Beach,Flagler
Beverly Hills,Citrus
Big Coppitt Key,Monroe
Big Pine Key,Monroe
Biscayne Park,Miami-Dade
Bithlo,Orange
Black Diamond,Citrus
Bloomingdale,Hillsborough
Blountstown,Calhoun
Boca Del Mar,Palm Beach
Boca Pointe,Palm Beach
Boca Raton,Palm Beach
Bokeelia,Lee
Bonifay,Holmes
Bonita Springs,Lee
Bonnie Lock-Woodsetter North,Broward
Boulevard Gardens,Broward
Bowling Green,Hardee
Boyette,Hillsborough
Boynton Beach,Palm Beach
Bradenton,Manatee
Bradenton Beach,Manatee
Brandon,Hillsborough
Branford,Suwannee
Brent,Escambia
Briny Breezes,Palm Beach
Bristol,Liberty
Broadview-Pompano Park,Broward
Broadview Park,Broward
Bronson,Levy
Brooker,Bradford
Brookridge,Hernando
Brooksville,Hernando
Broward Estates,Broward
Brownsville,Miami-Dade
Buckhead Ridge,Glades
Buckingham,Lee
Buena Ventura Lakes,Osceola
Bunche Park,Miami-Dade
Bunnell,Flagler
Burnt Store Marina,Lee
Bushnell,Sumter
Butler Beach,St Johns
Callahan,Nassau
Callaway,Bay
Campbell,Osceola
Campbellton,Jackson
Canal Point,Palm Beach
Cape Canaveral,Brevard
Cape Coral,Lee
Captiva,Lee
Carol City,Miami-Dade
Carrabelle,Franklin
Carver Ranches,Broward
Caryville,Washington
Casselberry,Seminole
Cedar Grove,Bay
Cedar Key,Levy
Celebration,Osceola
Center Hill,Sumter
Century,Escambia
Century Village,Palm Beach
Chambers Estates,Broward
Charleston Park,Lee
Charlotte Harbor,Charlotte
Charlotte Park,Charlotte
Chattahoochee,Gadsden
Cheval,Hillsborough
Chiefland,Levy
Chipley,Washington
Christmas,Orange
Chula Vista,Broward
Chuluota,Seminole
Cinco Bayou,Okaloosa
Citrus Hills,Citrus
Citrus Park,Hillsborough
Citrus Ridge,Lake
Citrus Springs,Citrus
Clearwater,Pinellas
Clermont,Lake
Cleveland,Charlotte
Clewiston,Hendry
Cloud Lake,Palm Beach
Cocoa,Brevard
Cocoa Beach,Brevard
Cocoa West,Brevard
Coconut Creek,Broward
Coleman,Sumter
Collier Manor-Cresthaven,Broward
Combee Settlement,Polk
Conway,Orange
Cooper City,Broward
Coral Gables,Miami-Dade
Coral Springs,Broward
Coral Terrace,Miami-Dade
Cortez,Manatee
Cottondale,Jackson
Country Club,Miami-Dade
Country Estates,Broward
Country Walk,Miami-Dade
Crescent Beach,St Johns
Crescent City,Putnam
Crestview,Okaloosa
Crooked Lake Park,Polk
Cross City,Dixie
Crystal Lake,Polk
Crystal River,Citrus
Crystal Springs,Pasco
Cudjoe Key,Monroe
Cutler,Miami-Dade
Cutler Ridge,Miami-Dade
Cypress Gardens,Polk
Cypress Lake,Lee
Cypress Lakes,Palm Beach
Cypress Quarters,Okeechobee
Dade City,Pasco
Dade City North,Pasco
Dania Beach,Broward
Davenport,Polk
Davie,Broward
Daytona Beach,Volusia
Daytona Beach Shores,Volusia
De Bary,Volusia
De Funiak Springs,Walton
De Land,Volusia
De Land Southwest,Volusia
De Leon Springs,Volusia
Deerfield Beach,Broward
Delray Beach,Palm Beach
Deltona,Volusia
Desoto Lakes,Sarasota
Destin,Okaloosa
Doctor Phillips,Orange
Doral,Miami-Dade
Dover,Hillsborough
Duck Key,Monroe
Dundee,Polk
Dunedin,Pinellas
Dunes Road,Palm Beach
Dunnellon,Marion
Eagle Lake,Polk
East Bronson,Levy
East Dunbar,Lee
East Lake,Pinellas
East Lake-Orient Park,Hillsborough
East Palatka,Putnam
East Perrine,Miami-Dade
East Williston,Levy
Eastpoint,Franklin
Eatonville,Orange
Ebro,Washington
Edgewater,Volusia
Edgewood,Orange
