county,firstName,lastName,address,city,state,zip,phoneNumber
Alachua,Clovis,Watson,PO Box 5489,Gainesville,FL,32627,352/367-4000
Baker,Scotty,Rhoden,1 Sheriff's Office Drive,Macclenny,FL,32063,904/259-2231
Bay,Tommpy,Ford,3421 N Highway 77,Panama City,FL,32405,850/747-4700
Bradford,Gordon,Smith,PO Box 400,Starke,FL,32091,904/966-2276
Brevard,Wayne,Ivey,700 S Park Avenue,Titusville,FL,32780,321/264-5201
Broward,Gregory,Tony,2601 W Broward Blvd,Ft. Lauderdale,FL,3312,954/831-8901
Calhoun,Glenn,Kimbrel,20776 Central Avenue E,Blountstown,FL,32424,850/674-5049
Charlotte,Bill,Prummell,7474 Utilities Road,Punta Gorda,FL,33982,941/639-2101
Citrus,Mike,Prendergast,1 Dr Martin Luther King Jr Avenue,Inverness,FL,34450,352/726-4488
Clay,Michelle,Cook,PO Box 548,Green Cove Springs,FL,32043,904/284-7575
Collier,Kevin,Rambosk,3319 Tamiami Trail East,Naples,FL,34112,239/252-0555
Columbia,Mark,Hunter,4917 E US Highway 90,Lake City,FL,32055,386/752-9212
DeSoto,James,Potter,208 E Cypress Street,Arcadia,FL,34266,863/993-4700
Dixie,Darby,Butler,PO Box 470,Cross City,FL,32628,352/498-1220
Duval,Mike,Williams,501 E Bay Street,Jacksonville,FL,32202,904/630-2120
Escambia,Chip,Simmons,PO Box 18770,Pensacola,FL,32523,850/436-9630
Flagler,Rick,Staly,901 E. Moody Blvd.,Bunnell,FL,32110,386/437-4116
Franklin,AJ,Smith,270 State Road 65,Eastpoint,FL,32328,850/670-8519
Gadsden,Morris,Young,PO Box 1709,Quincy,FL,32353,850/627-9233
Gilchrist,Bobby,Schultz,9239 South US Hwy 129,Trenton,FL,32693,352/463-3181
Glades,Dave,Hardin,PO Box 39,Moore Haven,FL,33471,863/946-1600
Gulf,Mike,Harrison,PO Box 970,Port St Joe,FL,32457,850/227-1115
Hamilton,Harrell,Reid,PO Drawer A,Jasper,FL,32052,386/792-2004
Hardee,Vent,Crawford,900 East Summit Street,Wauchula,FL,33873,863/773-0304
Hendry,Steve,Whidden,PO Box 579,LaBelle,FL,33975,863/674-5603
Hernando,Al,Nienhuis,PO Box 10070,Brooksville,FL,34603,352/754-6830
Highlands,Paul,Blackman,400 South Eucalyptus Street,Sebring,FL,33870,863/402-7200
Hillsborough,Chad,Chronister,PO Box 3371,Tampa,FL,33601,813/247-8000
Holmes,John,Tate,211 N Oklahoma Street ,Bonifay,FL,32425,850/547-4421
Indian River,Eric,Flowers,4055 41st Avenue,Vero Beach,FL,32960,772/569-8144
Jackson,Donnie,Edenfield,4012 Lafayette Street,Marianna,FL,32446,850/482-9017
Jefferson,Mac,McNeill,171 Industrial Park,Monticello,FL,32344,850/997-0756
Lafayette,Brian,Lamb,PO Box 227,Mayo,FL,32066,386/294-1190
Lake,Peyton,Grinnell,360 W Ruby Street,Tavares,FL,32778,352/343-9505
Lee,Carmine,Marceno,14750 Six Mile Cypress Pkwy,Ft. Myers,FL,33912,239/477-1030
Leon,Walt,McNeil,PO Box 727,Tallahassee,FL,32302,850/922-3337
Levy,Bobby,McCallum,PO Drawer 1719,Bronson,FL,32621,352/486-5116
Liberty,Buddy,Money,PO Box 67,Bristol,FL,32321,850/643-1191
Madison,David,Harper,2364 W. US 90,Madison,FL,32340,850/973-8508
Manatee,Rick,Wells,600 US Hwy 301 Blvd W #202,Bradenton,FL,34205,941/749-5401
Marion,Billy,Woods,PO Box 1987,Ocala,FL,34478,352/620-7209
Martin,William,Snyder,800 SE Monterey Road,Stuart,FL,34994,772/320-4747
Miami-Dade,Alfredo,Ramirez,9105 NW 25th Street,Miami,FL,33172,305/471-2163
Monroe,Rick,Ramsay,5525 College Road,Key West,FL,33040,305/292-7099
Nassau,Bill,Leeper,77151 Citizens Circle,Yulee,FL,32097,904/225-0443
Okaloosa,Eric,Aden,50 Second Street,Shalimar,FL,32579,850/609-3048
Okeechobee,Noel,Stephens,PO Drawer 1397,Okeechobee,FL,34973,863/763-6366
Orange,John,Mina,PO Box 1440,Orlando,FL,32802,407/254-7014
Osceola,Marcos,Lopez,2601 E Irlo Bronson Memorial Hwy,Kissimmee,FL,34744,407/348-1115
Palm Beach,Ric,Bradshaw,PO Box 24681,West Palm Beach,FL,33416,561/688-3033
Psaco,Chris,Nocco,8700 Citizen Drive,New Port Richey,FL,34654,727/844-7742
Pinellas,Bob,Gualtieri,PO Box 2500,Largo,FL,33779,727/582-6459
Polk,Grady,Judd,1891 Jim Keene Blvd. ,Winter Haven,FL,33880,863/298-6518
Putnam,Gator,DeLoach,PO Drawer 1578,Palatka,FL,32178,386/329-0484
