t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,27,0.895376,0.000000,0.000000,0.000000,events/second
1637710451,39,0.650034,0.000000,0.000000,0.000000,events/second
1637710481,45,0.500027,0.000000,0.000000,0.000000,events/second
1637710511,48,0.400044,0.000000,0.000000,0.000000,events/second
1637710541,54,0.360041,0.000000,0.000000,0.000000,events/second
1637710571,60,0.333342,0.000000,0.000000,0.000000,events/second
1637710601,75,0.357174,0.000000,0.000000,0.000000,events/second
1637710631,78,0.325016,0.000000,0.000000,0.000000,events/second
1637710661,84,0.311128,0.000000,0.000000,0.000000,events/second
1637710691,87,0.290009,0.000000,0.000000,0.000000,events/second
1637710721,93,0.281837,0.000000,0.000000,0.000000,events/second
1637710751,96,0.266690,0.000000,0.000000,0.000000,events/second
1637710781,102,0.261544,0.000000,0.000000,0.000000,events/second
1637710811,105,0.250019,0.000000,0.000000,0.000000,events/second
1637710841,111,0.246678,0.000000,0.000000,0.000000,events/second
1637710871,114,0.237516,0.000000,0.000000,0.000000,events/second
1637710901,120,0.235294,0.000000,0.000000,0.000000,events/second
1637710931,130,0.240692,0.000000,0.000000,0.000000,events/second
