t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,33,1.094231,0.000000,0.000000,0.000000,events/second
1637710451,45,0.750025,0.000000,0.000000,0.000000,events/second
1637710481,51,0.566694,0.000000,0.000000,0.000000,events/second
1637710511,54,0.450044,0.000000,0.000000,0.000000,events/second
1637710541,60,0.400045,0.000000,0.000000,0.000000,events/second
1637710571,66,0.366674,0.000000,0.000000,0.000000,events/second
1637710601,81,0.385747,0.000000,0.000000,0.000000,events/second
1637710631,84,0.350013,0.000000,0.000000,0.000000,events/second
1637710661,90,0.333344,0.000000,0.000000,0.000000,events/second
1637710691,93,0.310009,0.000000,0.000000,0.000000,events/second
1637710721,99,0.300019,0.000000,0.000000,0.000000,events/second
1637710751,102,0.283358,0.000000,0.000000,0.000000,events/second
1637710781,108,0.276928,0.000000,0.000000,0.000000,events/second
1637710811,111,0.264306,0.000000,0.000000,0.000000,events/second
1637710841,117,0.260011,0.000000,0.000000,0.000000,events/second
1637710871,120,0.250016,0.000000,0.000000,0.000000,events/second
1637710901,126,0.247059,0.000000,0.000000,0.000000,events/second
1637710931,130,0.240675,0.000000,0.000000,0.000000,events/second
