t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,194,6.432845,0.000000,0.000000,0.000000,events/second
1637710451,346,5.767142,0.000000,0.000000,0.000000,events/second
1637710481,402,4.466991,0.000000,0.000000,0.000000,events/second
1637710511,430,3.583776,0.000000,0.000000,0.000000,events/second
1637710541,486,3.240427,0.000000,0.000000,0.000000,events/second
1637710571,587,3.261235,0.000000,0.000000,0.000000,events/second
1637710601,772,3.676559,0.000000,0.000000,0.000000,events/second
1637710631,800,3.333492,0.000000,0.000000,0.000000,events/second
1637710661,856,3.170496,0.000000,0.000000,0.000000,events/second
1637710691,884,2.946782,0.000000,0.000000,0.000000,events/second
1637710721,940,2.848696,0.000000,0.000000,0.000000,events/second
1637710751,968,2.689141,0.000000,0.000000,0.000000,events/second
1637710781,1024,2.625703,0.000000,0.000000,0.000000,events/second
1637710811,1052,2.504971,0.000000,0.000000,0.000000,events/second
1637710841,1108,2.462348,0.000000,0.000000,0.000000,events/second
1637710871,1136,2.366838,0.000000,0.000000,0.000000,events/second
1637710901,1197,2.347074,0.000000,0.000000,0.000000,events/second
1637710931,1227,2.271604,0.000000,0.000000,0.000000,events/second
