t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,167,5.537236,0.000000,0.000000,0.000000,events/second
1637710451,307,5.117100,0.000000,0.000000,0.000000,events/second
1637710481,357,3.966947,0.000000,0.000000,0.000000,events/second
1637710511,382,3.183728,0.000000,0.000000,0.000000,events/second
1637710541,432,2.880382,0.000000,0.000000,0.000000,events/second
1637710571,527,2.927891,0.000000,0.000000,0.000000,events/second
1637710601,697,3.319383,0.000000,0.000000,0.000000,events/second
1637710631,722,3.008478,0.000000,0.000000,0.000000,events/second
1637710661,772,2.859374,0.000000,0.000000,0.000000,events/second
1637710691,797,2.656772,0.000000,0.000000,0.000000,events/second
1637710721,847,2.566858,0.000000,0.000000,0.000000,events/second
1637710751,872,2.422451,0.000000,0.000000,0.000000,events/second
1637710781,922,2.364158,0.000000,0.000000,0.000000,events/second
1637710811,947,2.254951,0.000000,0.000000,0.000000,events/second
1637710841,997,2.215669,0.000000,0.000000,0.000000,events/second
1637710871,1022,2.129322,0.000000,0.000000,0.000000,events/second
1637710901,1077,2.111779,0.000000,0.000000,0.000000,events/second
1637710931,1103,2.041964,0.000000,0.000000,0.000000,events/second
