t,value
1637710421,9223372036854775807
1637710451,9223372036854775807
1637710481,9223372036854775807
1637710511,9223372036854775807
1637710541,9223372036854775807
1637710571,9223372036854775807
1637710601,9223372036854775807
1637710631,9223372036854775807
1637710661,9223372036854775807
1637710691,9223372036854775807
1637710721,9223372036854775807
1637710751,9223372036854775807
1637710781,9223372036854775807
1637710811,9223372036854775807
1637710841,9223372036854775807
1637710871,9223372036854775807
1637710901,9223372036854775807
1637710931,9223372036854775807
