t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710451,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710481,1,0.010797,0.000000,0.000000,0.000000,events/second
1637710511,1,0.008156,0.000000,0.000000,0.000000,events/second
1637710541,1,0.006553,0.000000,0.000000,0.000000,events/second
1637710571,1,0.005476,0.000000,0.000000,0.000000,events/second
1637710601,3,0.014111,0.000000,0.000000,0.000000,events/second
1637710631,5,0.020609,0.000000,0.000000,0.000000,events/second
1637710661,5,0.018341,0.000000,0.000000,0.000000,events/second
1637710691,5,0.016523,0.000000,0.000000,0.000000,events/second
1637710721,5,0.015033,0.000000,0.000000,0.000000,events/second
1637710751,5,0.013790,0.000000,0.000000,0.000000,events/second
1637710781,5,0.012735,0.000000,0.000000,0.000000,events/second
1637710811,5,0.011832,0.000000,0.000000,0.000000,events/second
1637710841,5,0.011047,0.000000,0.000000,0.000000,events/second
1637710871,5,0.010361,0.000000,0.000000,0.000000,events/second
1637710901,5,0.009754,0.000000,0.000000,0.000000,events/second
