t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1637710421,15,936,229.400000,79,224.844009,149.000000,308.000000,936.000000,936.000000,936.000000,936.000000
1637710451,31,936,144.161290,3,182.337982,98.000000,171.000000,670.800000,936.000000,936.000000,936.000000
1637710481,35,936,141.514286,3,182.122837,98.000000,171.000000,582.400000,936.000000,936.000000,936.000000
1637710511,37,936,134.648649,3,179.377197,97.000000,160.000000,538.200000,936.000000,936.000000,936.000000
1637710541,41,936,122.609756,3,174.172167,79.000000,149.000000,487.700000,936.000000,936.000000,936.000000
1637710571,48,936,109.979167,1,164.078924,53.000000,149.000000,465.650000,936.000000,936.000000,936.000000
1637710601,67,936,91.179104,1,148.730784,28.000000,137.000000,391.800000,776.880000,936.000000,936.000000
1637710631,69,936,94.043478,1,148.263620,29.000000,137.000000,382.000000,759.200000,936.000000,936.000000
1637710661,73,936,89.397260,1,145.394840,24.000000,125.500000,362.400000,723.840000,936.000000,936.000000
1637710691,75,936,87.373333,1,143.949200,24.000000,114.000000,352.600000,706.160000,936.000000,936.000000
1637710721,79,936,83.683544,1,141.135009,22.000000,101.000000,333.000000,670.800000,936.000000,936.000000
1637710751,81,936,81.814815,1,139.859940,21.000000,99.500000,330.500000,653.120000,936.000000,936.000000
1637710781,85,936,78.364706,1,137.384830,21.000000,98.000000,325.500000,617.760000,936.000000,936.000000
1637710811,87,936,76.793103,1,136.168512,21.000000,98.000000,323.000000,600.080000,936.000000,936.000000
1637710841,91,936,75.813187,1,133.850656,21.000000,98.000000,318.000000,564.720000,936.000000,936.000000
1637710871,93,936,74.483871,1,132.698384,21.000000,98.000000,315.500000,547.040000,936.000000,936.000000
1637710901,98,1105,84.265306,1,166.151127,21.000000,98.000000,337.900000,939.380000,1105.000000,1105.000000
