t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,15,0.434787,0.268841,0.218598,0.206508,events/second
1637710451,31,0.481926,0.412772,0.258092,0.220504,events/second
1637710481,35,0.371061,0.305257,0.246327,0.217658,events/second
1637710511,37,0.297629,0.212220,0.229281,0.212714,events/second
1637710541,41,0.265698,0.183617,0.220258,0.210124,events/second
1637710571,48,0.260412,0.217119,0.222167,0.210961,events/second
1637710601,67,0.312632,0.382148,0.261412,0.224823,events/second
1637710631,69,0.282418,0.258857,0.242930,0.219644,events/second
1637710661,73,0.266112,0.211903,0.232609,0.216826,events/second
1637710691,75,0.246452,0.155598,0.216868,0.211909,events/second
1637710721,79,0.236311,0.149274,0.209027,0.209346,events/second
1637710751,81,0.222346,0.117611,0.195530,0.204674,events/second
1637710781,85,0.215560,0.126233,0.189719,0.202347,events/second
1637710811,87,0.205046,0.103637,0.178060,0.197905,events/second
1637710841,91,0.200305,0.117757,0.173911,0.195801,events/second
1637710871,93,0.192032,0.098496,0.163756,0.191573,events/second
1637710901,98,0.190540,0.127093,0.164114,0.190766,events/second
