t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,5,0.152450,0.000000,0.000000,0.000000,events/second
1637710451,24,0.383257,0.000000,0.000000,0.000000,events/second
1637710481,28,0.302308,0.000000,0.000000,0.000000,events/second
1637710511,30,0.244675,0.000000,0.000000,0.000000,events/second
1637710541,34,0.222795,0.000000,0.000000,0.000000,events/second
1637710571,41,0.224511,0.000000,0.000000,0.000000,events/second
1637710601,60,0.282213,0.000000,0.000000,0.000000,events/second
1637710631,62,0.255549,0.000000,0.000000,0.000000,events/second
1637710661,66,0.242097,0.000000,0.000000,0.000000,events/second
1637710691,68,0.224708,0.000000,0.000000,0.000000,events/second
1637710721,72,0.216475,0.000000,0.000000,0.000000,events/second
1637710751,74,0.204086,0.000000,0.000000,0.000000,events/second
1637710781,78,0.198667,0.000000,0.000000,0.000000,events/second
1637710811,80,0.189308,0.000000,0.000000,0.000000,events/second
1637710841,84,0.185593,0.000000,0.000000,0.000000,events/second
1637710871,86,0.178205,0.000000,0.000000,0.000000,events/second
1637710901,91,0.177519,0.000000,0.000000,0.000000,events/second
