t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,3,0.091465,0.000000,0.000000,0.000000,events/second
1637710451,18,0.287443,0.000000,0.000000,0.000000,events/second
1637710481,22,0.237528,0.000000,0.000000,0.000000,events/second
1637710511,24,0.195740,0.000000,0.000000,0.000000,events/second
1637710541,28,0.183478,0.000000,0.000000,0.000000,events/second
1637710571,34,0.186180,0.000000,0.000000,0.000000,events/second
1637710601,52,0.244585,0.000000,0.000000,0.000000,events/second
1637710631,54,0.222575,0.000000,0.000000,0.000000,events/second
1637710661,58,0.212752,0.000000,0.000000,0.000000,events/second
1637710691,60,0.198272,0.000000,0.000000,0.000000,events/second
1637710721,64,0.192422,0.000000,0.000000,0.000000,events/second
1637710751,66,0.182023,0.000000,0.000000,0.000000,events/second
1637710781,70,0.178291,0.000000,0.000000,0.000000,events/second
1637710811,72,0.170378,0.000000,0.000000,0.000000,events/second
1637710841,76,0.167918,0.000000,0.000000,0.000000,events/second
1637710871,78,0.161628,0.000000,0.000000,0.000000,events/second
1637710901,83,0.161913,0.000000,0.000000,0.000000,events/second
