t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,2,0.060972,0.000000,0.000000,0.000000,events/second
1637710451,6,0.095814,0.000000,0.000000,0.000000,events/second
1637710481,6,0.064780,0.000000,0.000000,0.000000,events/second
1637710511,6,0.048935,0.000000,0.000000,0.000000,events/second
1637710541,6,0.039317,0.000000,0.000000,0.000000,events/second
1637710571,7,0.038331,0.000000,0.000000,0.000000,events/second
1637710601,8,0.037628,0.000000,0.000000,0.000000,events/second
1637710631,8,0.032974,0.000000,0.000000,0.000000,events/second
1637710661,8,0.029345,0.000000,0.000000,0.000000,events/second
1637710691,8,0.026436,0.000000,0.000000,0.000000,events/second
1637710721,8,0.024053,0.000000,0.000000,0.000000,events/second
1637710751,8,0.022063,0.000000,0.000000,0.000000,events/second
1637710781,8,0.020376,0.000000,0.000000,0.000000,events/second
1637710811,8,0.018931,0.000000,0.000000,0.000000,events/second
1637710841,8,0.017676,0.000000,0.000000,0.000000,events/second
1637710871,8,0.016577,0.000000,0.000000,0.000000,events/second
1637710901,8,0.015606,0.000000,0.000000,0.000000,events/second
