t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,3,0.091452,0.000000,0.000000,0.000000,events/second
1637710451,7,0.111783,0.000000,0.000000,0.000000,events/second
1637710481,7,0.075576,0.000000,0.000000,0.000000,events/second
1637710511,7,0.057091,0.000000,0.000000,0.000000,events/second
1637710541,7,0.045869,0.000000,0.000000,0.000000,events/second
1637710571,8,0.043807,0.000000,0.000000,0.000000,events/second
1637710601,9,0.042332,0.000000,0.000000,0.000000,events/second
1637710631,9,0.037096,0.000000,0.000000,0.000000,events/second
1637710661,9,0.033013,0.000000,0.000000,0.000000,events/second
1637710691,9,0.029741,0.000000,0.000000,0.000000,events/second
1637710721,9,0.027059,0.000000,0.000000,0.000000,events/second
1637710751,9,0.024821,0.000000,0.000000,0.000000,events/second
1637710781,9,0.022923,0.000000,0.000000,0.000000,events/second
1637710811,9,0.021297,0.000000,0.000000,0.000000,events/second
1637710841,9,0.019885,0.000000,0.000000,0.000000,events/second
1637710871,9,0.018649,0.000000,0.000000,0.000000,events/second
1637710901,9,0.017557,0.000000,0.000000,0.000000,events/second
