t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,2,0.060963,0.000000,0.000000,0.000000,events/second
1637710451,3,0.047906,0.000000,0.000000,0.000000,events/second
1637710481,3,0.032389,0.000000,0.000000,0.000000,events/second
1637710511,3,0.024467,0.000000,0.000000,0.000000,events/second
1637710541,3,0.019658,0.000000,0.000000,0.000000,events/second
1637710571,3,0.016428,0.000000,0.000000,0.000000,events/second
1637710601,3,0.014111,0.000000,0.000000,0.000000,events/second
1637710631,3,0.012365,0.000000,0.000000,0.000000,events/second
1637710661,3,0.011004,0.000000,0.000000,0.000000,events/second
1637710691,3,0.009914,0.000000,0.000000,0.000000,events/second
1637710721,3,0.009020,0.000000,0.000000,0.000000,events/second
1637710751,3,0.008274,0.000000,0.000000,0.000000,events/second
1637710781,3,0.007641,0.000000,0.000000,0.000000,events/second
1637710811,3,0.007099,0.000000,0.000000,0.000000,events/second
1637710841,3,0.006628,0.000000,0.000000,0.000000,events/second
1637710871,3,0.006216,0.000000,0.000000,0.000000,events/second
1637710901,3,0.005852,0.000000,0.000000,0.000000,events/second
