t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,2,0.060961,0.000000,0.000000,0.000000,events/second
1637710451,2,0.031938,0.000000,0.000000,0.000000,events/second
1637710481,2,0.021593,0.000000,0.000000,0.000000,events/second
1637710511,2,0.016312,0.000000,0.000000,0.000000,events/second
1637710541,2,0.013106,0.000000,0.000000,0.000000,events/second
1637710571,2,0.010952,0.000000,0.000000,0.000000,events/second
1637710601,2,0.009407,0.000000,0.000000,0.000000,events/second
1637710631,2,0.008244,0.000000,0.000000,0.000000,events/second
1637710661,2,0.007336,0.000000,0.000000,0.000000,events/second
1637710691,2,0.006609,0.000000,0.000000,0.000000,events/second
1637710721,2,0.006013,0.000000,0.000000,0.000000,events/second
1637710751,2,0.005516,0.000000,0.000000,0.000000,events/second
1637710781,2,0.005094,0.000000,0.000000,0.000000,events/second
1637710811,2,0.004733,0.000000,0.000000,0.000000,events/second
1637710841,2,0.004419,0.000000,0.000000,0.000000,events/second
1637710871,2,0.004144,0.000000,0.000000,0.000000,events/second
1637710901,2,0.003902,0.000000,0.000000,0.000000,events/second
