t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,2076,68.706600,0.000000,0.000000,0.000000,events/second
1637710451,2767,46.101671,0.000000,0.000000,0.000000,events/second
1637710481,2817,31.292770,0.000000,0.000000,0.000000,events/second
1637710511,3087,25.722674,0.000000,0.000000,0.000000,events/second
1637710541,3137,20.912510,0.000000,0.000000,0.000000,events/second
1637710571,3996,22.197852,0.000000,0.000000,0.000000,events/second
1637710601,4443,21.156780,0.000000,0.000000,0.000000,events/second
1637710631,4716,19.648901,0.000000,0.000000,0.000000,events/second
1637710661,4766,17.650810,0.000000,0.000000,0.000000,events/second
1637710691,5039,16.795936,0.000000,0.000000,0.000000,events/second
1637710721,5089,15.421187,0.000000,0.000000,0.000000,events/second
1637710751,5362,14.894812,0.000000,0.000000,0.000000,events/second
1637710781,5412,13.876375,0.000000,0.000000,0.000000,events/second
1637710811,5685,13.536070,0.000000,0.000000,0.000000,events/second
1637710841,5735,12.744402,0.000000,0.000000,0.000000,events/second
1637710871,6008,12.516954,0.000000,0.000000,0.000000,events/second
1637710901,6058,11.877941,0.000000,0.000000,0.000000,events/second
1637710931,6324,11.706969,0.000000,0.000000,0.000000,events/second
