t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,130,4.301935,0.000000,0.000000,0.000000,events/second
1637710451,140,2.332461,0.000000,0.000000,0.000000,events/second
1637710481,140,1.555173,0.000000,0.000000,0.000000,events/second
1637710511,140,1.166549,0.000000,0.000000,0.000000,events/second
1637710541,140,0.933289,0.000000,0.000000,0.000000,events/second
1637710571,143,0.794362,0.000000,0.000000,0.000000,events/second
1637710601,143,0.680937,0.000000,0.000000,0.000000,events/second
1637710631,143,0.595797,0.000000,0.000000,0.000000,events/second
1637710661,143,0.529596,0.000000,0.000000,0.000000,events/second
1637710691,143,0.476644,0.000000,0.000000,0.000000,events/second
1637710721,143,0.433331,0.000000,0.000000,0.000000,events/second
1637710751,143,0.397231,0.000000,0.000000,0.000000,events/second
1637710781,143,0.366651,0.000000,0.000000,0.000000,events/second
1637710811,143,0.340484,0.000000,0.000000,0.000000,events/second
1637710841,143,0.317776,0.000000,0.000000,0.000000,events/second
1637710871,143,0.297923,0.000000,0.000000,0.000000,events/second
1637710901,143,0.280380,0.000000,0.000000,0.000000,events/second
1637710931,144,0.266562,0.000000,0.000000,0.000000,events/second
