t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1637710421,26,2340,277.730769,7,565.822697,22.500000,208.500000,1962.000000,2340.000000,2340.000000,2340.000000
1637710451,38,2340,194.473684,4,481.471323,16.000000,71.500000,1314.000000,2340.000000,2340.000000,2340.000000
1637710481,44,2340,174.363636,3,449.934884,17.000000,59.750000,1252.000000,2340.000000,2340.000000,2340.000000
1637710511,47,2340,163.808511,3,436.930481,15.000000,59.000000,1247.200000,2340.000000,2340.000000,2340.000000
1637710541,53,2340,149.075472,3,413.210546,15.000000,59.500000,1237.600000,2253.600000,2340.000000,2340.000000
1637710571,59,2340,134.779661,2,393.598477,14.000000,57.000000,1228.000000,2124.000000,2340.000000,2340.000000
1637710601,74,2340,110.054054,2,354.311213,13.000000,26.750000,1143.250000,1800.000000,2340.000000,2340.000000
1637710631,77,2340,106.168831,2,347.796689,13.000000,25.500000,1126.300000,1735.200000,2340.000000,2340.000000
1637710661,83,2340,99.831325,2,335.705875,12.000000,25.000000,938.200000,1605.600000,2340.000000,2340.000000
1637710691,86,2340,96.872093,2,330.100085,13.000000,24.250000,805.600000,1540.800000,2340.000000,2340.000000
1637710721,92,2340,90.989130,2,319.818509,12.000000,23.000000,540.400000,1411.200000,2340.000000,2340.000000
1637710751,95,2340,88.242105,2,315.045175,11.000000,23.000000,407.800000,1346.400000,2340.000000,2340.000000
1637710781,101,2340,83.297030,2,306.087946,10.000000,21.000000,229.500000,1258.720000,2318.400000,2340.000000
1637710811,104,2340,81.076923,2,301.875197,10.000000,21.000000,227.250000,1256.800000,2286.000000,2340.000000
1637710841,110,2340,77.109091,2,293.922112,10.000000,21.000000,222.750000,1252.960000,2221.200000,2340.000000
1637710871,113,2340,75.283186,2,290.173085,10.000000,21.000000,220.500000,1251.040000,2188.800000,2340.000000
1637710901,119,2340,73.571429,2,282.837696,10.000000,21.000000,216.000000,1247.200000,2124.000000,2340.000000
