t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,26,0.660860,0.402188,0.245308,0.215402,events/second
1637710451,38,0.549691,0.456967,0.275391,0.226861,events/second
1637710481,44,0.443842,0.359512,0.268379,0.225998,events/second
1637710511,47,0.364006,0.258664,0.252431,0.221877,events/second
1637710541,53,0.333094,0.239235,0.247604,0.221178,events/second
1637710571,59,0.311963,0.233685,0.243550,0.220538,events/second
1637710601,74,0.337728,0.342946,0.268188,0.229727,events/second
1637710631,77,0.309087,0.248616,0.252259,0.225483,events/second
1637710661,83,0.297359,0.233141,0.247448,0.224666,events/second
1637710691,86,0.278208,0.182016,0.233492,0.220588,events/second
1637710721,92,0.271300,0.192746,0.230467,0.219931,events/second
1637710751,95,0.257384,0.157515,0.218127,0.216009,events/second
1637710781,101,0.253055,0.177885,0.216564,0.215502,events/second
1637710811,104,0.242370,0.148501,0.205548,0.211724,events/second
1637710841,110,0.239595,0.172418,0.205182,0.211358,events/second
1637710871,113,0.231038,0.145186,0.195248,0.207717,events/second
1637710901,119,0.229230,0.170407,0.195863,0.207482,events/second
