t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,144,3.877281,0.000000,0.000000,0.000000,events/second
1637710451,156,2.330992,0.000000,0.000000,0.000000,events/second
1637710481,162,1.671325,0.000000,0.000000,0.000000,events/second
1637710511,165,1.300097,0.000000,0.000000,0.000000,events/second
1637710541,171,1.089806,0.000000,0.000000,0.000000,events/second
1637710571,177,0.946932,0.000000,0.000000,0.000000,events/second
1637710601,192,0.885177,0.000000,0.000000,0.000000,events/second
1637710631,195,0.789743,0.000000,0.000000,0.000000,events/second
1637710661,201,0.725846,0.000000,0.000000,0.000000,events/second
1637710691,204,0.664678,0.000000,0.000000,0.000000,events/second
1637710721,210,0.623325,0.000000,0.000000,0.000000,events/second
1637710751,213,0.580550,0.000000,0.000000,0.000000,events/second
1637710781,219,0.551751,0.000000,0.000000,0.000000,events/second
1637710811,222,0.520039,0.000000,0.000000,0.000000,events/second
1637710841,228,0.499011,0.000000,0.000000,0.000000,events/second
1637710871,231,0.474439,0.000000,0.000000,0.000000,events/second
1637710901,237,0.458482,0.000000,0.000000,0.000000,events/second
