t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,91,2.447803,0.000000,0.000000,0.000000,events/second
1637710451,103,1.539079,0.000000,0.000000,0.000000,events/second
1637710481,109,1.124547,0.000000,0.000000,0.000000,events/second
1637710511,112,0.882498,0.000000,0.000000,0.000000,events/second
1637710541,118,0.752034,0.000000,0.000000,0.000000,events/second
1637710571,124,0.663392,0.000000,0.000000,0.000000,events/second
1637710601,139,0.640835,0.000000,0.000000,0.000000,events/second
1637710631,142,0.575098,0.000000,0.000000,0.000000,events/second
1637710661,148,0.534456,0.000000,0.000000,0.000000,events/second
1637710691,151,0.491994,0.000000,0.000000,0.000000,events/second
1637710721,157,0.466011,0.000000,0.000000,0.000000,events/second
1637710751,160,0.436095,0.000000,0.000000,0.000000,events/second
1637710781,166,0.418224,0.000000,0.000000,0.000000,events/second
1637710811,169,0.395887,0.000000,0.000000,0.000000,events/second
1637710841,175,0.383014,0.000000,0.000000,0.000000,events/second
1637710871,178,0.365586,0.000000,0.000000,0.000000,events/second
1637710901,184,0.355953,0.000000,0.000000,0.000000,events/second
