t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,53,1.425521,0.000000,0.000000,0.000000,events/second
1637710451,53,0.791955,0.000000,0.000000,0.000000,events/second
1637710481,53,0.546798,0.000000,0.000000,0.000000,events/second
1637710511,53,0.417611,0.000000,0.000000,0.000000,events/second
1637710541,53,0.337778,0.000000,0.000000,0.000000,events/second
1637710571,53,0.283547,0.000000,0.000000,0.000000,events/second
1637710601,53,0.244347,0.000000,0.000000,0.000000,events/second
1637710631,53,0.214649,0.000000,0.000000,0.000000,events/second
1637710661,53,0.191393,0.000000,0.000000,0.000000,events/second
1637710691,53,0.172687,0.000000,0.000000,0.000000,events/second
1637710721,53,0.157316,0.000000,0.000000,0.000000,events/second
1637710751,53,0.144457,0.000000,0.000000,0.000000,events/second
1637710781,53,0.133529,0.000000,0.000000,0.000000,events/second
1637710811,53,0.124154,0.000000,0.000000,0.000000,events/second
1637710841,53,0.115999,0.000000,0.000000,0.000000,events/second
1637710871,53,0.108854,0.000000,0.000000,0.000000,events/second
1637710901,53,0.102530,0.000000,0.000000,0.000000,events/second
