t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,54,1.452473,0.000000,0.000000,0.000000,events/second
1637710451,54,0.806952,0.000000,0.000000,0.000000,events/second
1637710481,54,0.557141,0.000000,0.000000,0.000000,events/second
1637710511,54,0.425505,0.000000,0.000000,0.000000,events/second
1637710541,54,0.344161,0.000000,0.000000,0.000000,events/second
1637710571,54,0.288904,0.000000,0.000000,0.000000,events/second
1637710601,54,0.248963,0.000000,0.000000,0.000000,events/second
1637710631,54,0.218703,0.000000,0.000000,0.000000,events/second
1637710661,54,0.195008,0.000000,0.000000,0.000000,events/second
1637710691,54,0.175947,0.000000,0.000000,0.000000,events/second
1637710721,54,0.160286,0.000000,0.000000,0.000000,events/second
1637710751,54,0.147184,0.000000,0.000000,0.000000,events/second
1637710781,54,0.136050,0.000000,0.000000,0.000000,events/second
1637710811,54,0.126498,0.000000,0.000000,0.000000,events/second
1637710841,54,0.118188,0.000000,0.000000,0.000000,events/second
1637710871,54,0.110909,0.000000,0.000000,0.000000,events/second
1637710901,54,0.104465,0.000000,0.000000,0.000000,events/second
