t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,4,0.107549,0.000000,0.000000,0.000000,events/second
1637710451,4,0.059763,0.000000,0.000000,0.000000,events/second
1637710481,4,0.041264,0.000000,0.000000,0.000000,events/second
1637710511,4,0.031516,0.000000,0.000000,0.000000,events/second
1637710541,4,0.025491,0.000000,0.000000,0.000000,events/second
1637710571,4,0.021399,0.000000,0.000000,0.000000,events/second
1637710601,4,0.018441,0.000000,0.000000,0.000000,events/second
1637710631,4,0.016199,0.000000,0.000000,0.000000,events/second
1637710661,4,0.014444,0.000000,0.000000,0.000000,events/second
1637710691,4,0.013033,0.000000,0.000000,0.000000,events/second
1637710721,4,0.011873,0.000000,0.000000,0.000000,events/second
1637710751,4,0.010902,0.000000,0.000000,0.000000,events/second
1637710781,4,0.010077,0.000000,0.000000,0.000000,events/second
1637710811,4,0.009370,0.000000,0.000000,0.000000,events/second
1637710841,4,0.008754,0.000000,0.000000,0.000000,events/second
1637710871,4,0.008215,0.000000,0.000000,0.000000,events/second
1637710901,4,0.007738,0.000000,0.000000,0.000000,events/second
