t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,58,1.559533,0.000000,0.000000,0.000000,events/second
1637710451,58,0.866685,0.000000,0.000000,0.000000,events/second
1637710481,58,0.598391,0.000000,0.000000,0.000000,events/second
1637710511,58,0.456976,0.000000,0.000000,0.000000,events/second
1637710541,58,0.369646,0.000000,0.000000,0.000000,events/second
1637710571,58,0.310299,0.000000,0.000000,0.000000,events/second
1637710601,58,0.267400,0.000000,0.000000,0.000000,events/second
1637710631,58,0.234900,0.000000,0.000000,0.000000,events/second
1637710661,58,0.209450,0.000000,0.000000,0.000000,events/second
1637710691,58,0.188979,0.000000,0.000000,0.000000,events/second
1637710721,58,0.172158,0.000000,0.000000,0.000000,events/second
1637710751,58,0.158085,0.000000,0.000000,0.000000,events/second
1637710781,58,0.146127,0.000000,0.000000,0.000000,events/second
1637710811,58,0.135867,0.000000,0.000000,0.000000,events/second
1637710841,58,0.126942,0.000000,0.000000,0.000000,events/second
1637710871,58,0.119124,0.000000,0.000000,0.000000,events/second
1637710901,58,0.112203,0.000000,0.000000,0.000000,events/second
