t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710451,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710481,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710511,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710541,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710571,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710601,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710631,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710661,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710691,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710721,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710751,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710781,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710811,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710841,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710871,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710901,0,0.000000,0.000000,0.000000,0.000000,events/second
1637710931,0,0.000000,0.000000,0.000000,0.000000,events/second
