t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,182,6.008895,0.000000,0.000000,0.000000,events/second
1637710451,182,3.032694,0.000000,0.000000,0.000000,events/second
1637710481,182,2.021826,0.000000,0.000000,0.000000,events/second
1637710511,182,1.516509,0.000000,0.000000,0.000000,events/second
1637710541,182,1.213347,0.000000,0.000000,0.000000,events/second
1637710571,182,1.011068,0.000000,0.000000,0.000000,events/second
1637710601,209,0.995265,0.000000,0.000000,0.000000,events/second
1637710631,209,0.870818,0.000000,0.000000,0.000000,events/second
1637710661,209,0.774055,0.000000,0.000000,0.000000,events/second
1637710691,209,0.696657,0.000000,0.000000,0.000000,events/second
1637710721,209,0.633350,0.000000,0.000000,0.000000,events/second
1637710751,209,0.580584,0.000000,0.000000,0.000000,events/second
1637710781,209,0.535889,0.000000,0.000000,0.000000,events/second
1637710811,209,0.497644,0.000000,0.000000,0.000000,events/second
1637710841,209,0.464453,0.000000,0.000000,0.000000,events/second
1637710871,209,0.435436,0.000000,0.000000,0.000000,events/second
1637710901,273,0.535282,0.000000,0.000000,0.000000,events/second
1637710931,273,0.505368,0.000000,0.000000,0.000000,events/second
